eps_num,iter,critic_loss,actor_loss,csc_samples_neg,csc_samples_pos,train_acc,snap_iter,beta_score,main_critic_loss,main_actor_loss,main_beta_score,main_prox_critic,main_prox_actor,main_avg_prox_coef,tidx,avg_rewards,one_raw_reward
200,10000,0.014348653145134449,0.12577647119760513,200,204,0.9678217821782178,10,1.0,0.36279048651456836,0.14029436200857162,0.41355714,0.4318468710780144,0.28117264360189437,0.09999999999999998,0,-8.303039409577941,-8.453629352267342
200,10000,0.007659504457842558,0.07504418045282364,200,204,0.9133663366336634,10,1.0,0.43983070135116575,0.1472410684451461,0.49776524,0.4578021493554115,0.2850309790670872,0.09999999999999998,1,-6.76799606462852,0.7875292557060939
250,20000,18.788690900802614,-7.439634513854981,200,204,0.8118811881188119,10,1.0,5.490966572761535,-15.319273910522462,1.2270895,1.6672701907157899,0.6389898645877838,0.09999999999999998,0,87.66620753539827,12.850704542881203
250,20000,9.590304517745972,-4.229028844833374,200,204,0.8688118811881188,10,1.0,2.208012566566467,-3.735556163787842,0.72853625,1.2001579403877258,0.45134804010391233,0.09999999999999998,1,7.855390389047603,52.33276958618274
300,30000,85.89296379089356,-78.12781524658203,200,204,0.7896039603960396,10,1.0,11.648336029052734,-33.58630920410156,0.63217866,1.713710949420929,0.4768408966064453,0.09999999999999998,0,364.44925257235866,631.0848199201107
300,30000,23.153269577026368,-2.972511646151543,200,204,0.8118811881188119,10,1.0,5.915783534049988,-8.351900806427002,0.65833217,1.5819535565376281,0.8761394476890564,0.09999999999999998,1,71.57697118056534,115.91700574730636
350,40000,190.52046546936035,-101.45637512207031,200,204,0.8143564356435643,10,1.0,33.063604507446286,-72.27740295410156,0.9095963,1.6551156079769134,0.6612113404273987,0.09999999999999998,0,412.50959786698587,475.44632188318025
350,40000,66.68336496353149,0.269182014465332,200,204,0.8415841584158416,10,1.0,10.692293834686279,-1.8457283830642701,0.94812787,1.5111903834342957,0.7642325973510742,0.09999999999999998,1,109.37412646391832,167.94473740008561
400,50000,277.28330078125,-138.17296295166017,200,204,0.8118811881188119,10,1.0,30.614031200408935,-48.64514999389648,0.40220752,2.227466425895691,0.7048916435241699,0.09999999999999998,0,541.6735593662596,580.2297621627372
400,50000,39.55292320251465,5.723726511001587,200,204,0.7995049504950495,10,1.0,21.35448886871338,-7.92194974899292,1.2385672,1.8979135704040528,1.122305817604065,0.09999999999999998,1,128.4793033465855,60.05743331890389
450,60000,321.9243980407715,-174.32384338378907,200,204,0.806930693069307,10,1.0,64.21823303222656,-98.08816650390625,0.70438915,1.4880806505680084,0.7778789567947387,0.09999999999999998,0,629.706622733914,656.2838826142896
450,60000,82.3181999206543,-4.594325661659241,200,204,0.7995049504950495,10,1.0,10.00539035797119,-7.082550086975098,0.536648,4.116776072978974,0.7847940945625305,0.09999999999999998,1,228.4466727571628,265.717093980116
500,70000,299.07800521850584,-138.80969696044923,200,204,0.8316831683168316,10,1.0,60.0010950088501,-102.87692108154297,0.7724821,1.8968051266670227,0.9493927121162414,0.09999999999999998,0,636.8072049572808,452.405132769113
500,70000,117.44278984069824,-13.947489547729493,200,204,0.7673267326732673,10,1.0,31.4374102973938,-12.474390487670899,0.63038886,3.2288199520111083,0.8279351592063904,0.09999999999999998,1,292.25284414592574,344.32759298634545
550,80000,264.2272666931152,-215.25936279296874,200,204,0.7871287128712872,10,1.0,76.83486198425292,-130.14637451171876,0.6365011,2.257145187854767,0.73892373919487,0.09999999999999998,0,676.7760236527754,683.2712528477452
550,80000,113.68608903884888,-25.331433296203613,200,204,0.8094059405940595,10,1.0,39.755986289978026,-24.546911392211914,0.9412497,2.2359391045570374,0.9902192068099975,0.09999999999999998,1,379.37252798733454,360.495115740841
600,90000,379.07224349975587,-236.6374755859375,200,204,0.7920792079207921,10,1.0,61.55718978881836,-130.40421447753906,0.7062626,1.580033712387085,0.9089528608322144,0.09999999999999998,0,701.4454468069372,752.6285806384873
600,90000,104.26238288879395,-36.34764022827149,200,204,0.7524752475247525,10,1.0,90.20277145385742,-37.10586318969727,0.9468524,2.434360167980194,0.8687250018119812,0.09999999999999998,1,406.26980023876007,310.62166531102093
650,100000,328.73460083007814,-242.8971405029297,200,204,0.7623762376237624,10,1.0,89.97959671020507,-210.73836486816407,0.9873989,1.3850837635993958,0.9248754644393921,0.09999999999999998,0,789.8497914786819,669.5431617330856
650,100000,144.21721153259278,-50.60539855957031,200,204,0.7673267326732673,10,1.0,51.99079265594482,-50.87249313354492,1.188312,2.717055778503418,0.9047416591644287,0.09999999999999998,1,365.7666426698133,436.81599107311683
700,110000,146.52240371704102,-277.7441345214844,200,204,0.8514851485148515,10,1.0,113.1262449645996,-155.55209289550783,0.78282166,1.9673080778121947,1.0229256963729858,0.09999999999999998,0,737.2880782605797,744.8043349263758
700,110000,222.81896228790282,-61.82660675048828,200,204,0.7673267326732673,10,1.0,35.72126655578613,-36.712595748901364,0.5970952,3.6569636130332945,0.8715985012054444,0.09999999999999998,1,358.792199408785,446.76143367847504
750,120000,288.68385925292966,-282.66029663085936,200,204,0.7524752475247525,10,1.0,128.10083679199218,-286.4120947265625,1.2326052,1.6236379003524781,0.9654208183288574,0.09999999999999998,0,744.5312287439086,696.7801903918356
750,120000,239.3854667663574,-73.7312255859375,200,204,0.7722772277227723,10,1.0,43.65056251525879,-47.424508056640626,0.60389394,2.287140667438507,0.7552865314483642,0.09999999999999998,1,396.1529254745274,450.3210183501348
800,130000,330.151197052002,-321.8718200683594,200,204,0.7970297029702971,10,1.0,89.9763459777832,-196.43412170410156,0.7277139,1.5788846230506897,1.0179661679267884,0.09999999999999998,0,789.662631651851,831.4800688282462
800,130000,264.6216178894043,-85.37202453613281,200,204,0.8193069306930693,10,1.0,48.68452346801758,-75.34376556396484,0.92340946,1.846566948890686,1.0181400775909424,0.09999999999999998,1,433.91979928462763,383.79437257129626
850,140000,443.3886543273926,-332.7659606933594,200,204,0.7920792079207921,10,1.0,91.82531051635742,-278.5473193359375,1.0402875,1.3226434922218322,0.890647908449173,0.09999999999999998,0,798.9754673176873,808.3115199337554
850,140000,252.8468330383301,-91.80422821044922,200,204,0.7920792079207921,10,1.0,60.126118965148926,-101.13154632568359,1.185644,1.7163798785209656,0.9159520697593689,0.09999999999999998,1,364.47020431199314,369.3384495981558
900,150000,337.5033660888672,-355.64740600585935,200,204,0.8267326732673267,10,1.0,74.60861297607421,-211.89185302734376,0.7405161,1.8505373561382295,1.008108174800873,0.09999999999999998,0,790.9451060337647,823.2997010943944
900,150000,253.83800897598266,-106.38983154296875,200,204,0.7673267326732673,10,1.0,50.285918617248534,-102.58221313476562,1.0341167,2.486596231460571,0.8128833532333374,0.09999999999999998,1,446.7873570820464,489.31233772829995
950,160000,389.20446319580077,-346.1743530273437,200,204,0.7574257425742574,10,1.0,97.44297630310058,-300.7735925292969,1.0052979,1.6385833716392517,0.9334859657287597,0.09999999999999998,0,798.6641869079735,745.2750337791373
950,160000,168.32211046218873,-114.03807373046875,200,204,0.7772277227722773,10,1.0,24.186677398681642,-72.21332366943359,0.64060116,4.854174151420593,0.6886826753616333,0.09999999999999998,1,433.2481177606964,487.6557352619643
1000,170000,330.7567481994629,-368.06736450195314,200,204,0.7623762376237624,10,1.0,72.44428825378418,-253.23623046875,0.8679222,1.4222415578365326,1.0379686975479125,0.09999999999999998,0,825.7641023501563,784.7963562359372
1000,170000,278.7997447967529,-131.25540771484376,200,204,0.806930693069307,10,1.0,40.28847370147705,-88.22066436767578,0.81957376,2.3991190814971923,0.8755603957176209,0.09999999999999998,1,445.35079296514607,515.9909259020288
1050,180000,312.52473678588865,-385.89892578125,200,204,0.7673267326732673,10,1.0,81.11900131225586,-356.2963671875,1.0680138,1.6654679155349732,0.9735526704788208,0.09999999999999998,0,925.9493124999253,845.1331668853418
1050,180000,316.9211889266968,-132.56691284179686,200,204,0.75,10,1.0,45.62668354034424,-103.60492553710938,0.8280069,2.836651659011841,0.9334931993484497,0.09999999999999998,1,468.7141892995578,453.15315383781143
